index,Movie Name,Year,Actors,Directors,Writer,Rating
592,Coraline,06/02/09,"Dakota Fanning, Teri Hatcher, John Hodgman",Henry Selick,"Henry Selick, Neil Gaiman",7.7
593,Ray,29/10/04,"Jamie Foxx, Regina King, Kerry Washington",Taylor Hackford,"Taylor Hackford, James L. White",7.7
594,The Last of the Mohicans,25/09/92,"Daniel Day-Lewis, Madeleine Stowe, Russell Means",Michael Mann,"James Fenimore Cooper, John L. Balderston, Paul Perez",7.7
595,Zombieland,02/10/09,"Jesse Eisenberg, Emma Stone, Woody Harrelson",Ruben Fleischer,"Rhett Reese, Paul Wernick",7.6
596,Braveheart,24/05/95,"Mel Gibson, Sophie Marceau, Patrick McGoohan",Mel Gibson,Randall Wallace,8.4
597,Moneyball,23/09/11,"Brad Pitt, Robin Wright, Jonah Hill",Bennett Miller,"Steven Zaillian, Aaron Sorkin, Stan Chervin",7.6
598,The Untouchables,03/06/87,"Kevin Costner, Sean Connery, Robert De Niro",Brian De Palma,"David Mamet, Oscar Fraley, Eliot Ness",7.9
599,Fantasia,19/09/41,"Leopold Stokowski, Deems Taylor, The Philadelphia Orchestra","James Algar, Samuel Armstrong, Ford Beebe Jr.","Joe Grant, Dick Huemer, Lee Blair",7.7
600,Training Day,05/10/01,"Denzel Washington, Ethan Hawke, Scott Glenn",Antoine Fuqua,David Ayer,7.7
601,Philadelphia,14/01/94,"Tom Hanks, Denzel Washington, Roberta Maxwell",Jonathan Demme,Ron Nyswaner,7.7
602,Man on Fire,23/04/04,"Denzel Washington, Christopher Walken, Dakota Fanning",Tony Scott,"A.J. Quinnell, Brian Helgeland",7.7
603,The Naked Gun: From the Files of Police Squad!,02/12/88,"Leslie Nielsen, Priscilla Presley, O.J. Simpson",David Zucker,"Jerry Zucker, Jim Abrahams, David Zucker",7.6
604,Alien,22/06/79,"Sigourney Weaver, Tom Skerritt, John Hurt",Ridley Scott,"Dan OBannon, Ronald Shusett",8.5
605,Star Trek II: The Wrath of Khan,04/06/82,"William Shatner, Leonard Nimoy, DeForest Kelley",Nicholas Meyer,"Gene Roddenberry, Harve Bennett, Jack B. Sowards",7.7
606,Fiddler on the Roof,03/11/71,"Topol, Norma Crane, Leonard Frey",Norman Jewison,"Sholom Aleichem, Arnold Perl, Joseph Stein",8
607,The Notebook,25/06/04,"Gena Rowlands, James Garner, Rachel McAdams",Nick Cassavetes,"Jeremy Leven, Jan Sardi, Nicholas Sparks",7.8
608,Fried Green Tomatoes,24/01/92,"Kathy Bates, Jessica Tandy, Mary Stuart Masterson",Jon Avnet,"Fannie Flagg, Carol Sobieski",7.7
609,Die Hard,20/07/88,"Bruce Willis, Alan Rickman, Bonnie Bedelia",John McTiernan,"Roderick Thorp, Jeb Stuart, Steven E. de Souza",8.3
610,Brokeback Mountain,13/01/06,"Jake Gyllenhaal, Heath Ledger, Michelle Williams",Ang Lee,"Annie Proulx, Larry McMurtry, Diana Ossana",7.7
611,Airplane!,02/07/80,"Robert Hays, Julie Hagerty, Leslie Nielsen","Jim Abrahams, David Zucker, Jerry Zucker","Jim Abrahams, David Zucker, Jerry Zucker",7.7
612,Apocalypse Now,15/08/79,"Martin Sheen, Marlon Brando, Robert Duvall",Francis Ford Coppola,"John Milius, Francis Ford Coppola, Michael Herr",8.5
613,Green Book,16/11/18,"Viggo Mortensen, Mahershala Ali, Linda Cardellini",Peter Farrelly,"Nick Vallelonga, Brian Hayes Currie, Peter Farrelly",8.2
614,Aliens,18/07/86,"Sigourney Weaver, Michael Biehn, Carrie Henn",James Cameron,"James Cameron, David Giler, Walter Hill",8.4
615,Young Frankenstein,15/12/74,"Gene Wilder, Madeline Kahn, Marty Feldman",Mel Brooks,"Gene Wilder, Mel Brooks, Mary Shelley",8
616,Inside Man,24/03/06,"Denzel Washington, Clive Owen, Jodie Foster",Spike Lee,Russell Gewirtz,7.6
617,Mystic River,15/10/03,"Sean Penn, Tim Robbins, Kevin Bacon",Clint Eastwood,"Brian Helgeland, Dennis Lehane",7.9
618,The Imitation Game,25/12/14,"Benedict Cumberbatch, Keira Knightley, Matthew Goode",Morten Tyldum,"Graham Moore, Andrew Hodges",8
619,Blade Runner 2049,06/10/17,"Harrison Ford, Ryan Gosling, Ana de Armas",Denis Villeneuve,"Hampton Fancher, Michael Green, Philip K. Dick",8
620,When Harry Met Sally...,21/07/89,"Billy Crystal, Meg Ryan, Carrie Fisher",Rob Reiner,Nora Ephron,7.6
621,The Fighter,17/12/10,"Mark Wahlberg, Christian Bale, Amy Adams",David O. Russell,"Scott Silver, Paul Tamasy, Eric Johnson",7.8
622,The Ten Commandments,05/10/56,"Charlton Heston, Yul Brynner, Anne Baxter",Cecil B. DeMille,"Dorothy Clarke Wilson, J.H. Ingraham, A.E. Southon",7.9
623,Dead Poets Society,09/06/89,"Robin Williams, Robert Sean Leonard, Ethan Hawke",Peter Weir,Tom Schulman,8.1
624,The Others,10/08/01,"Nicole Kidman, Christopher Eccleston, Fionnula Flanagan",Alejandro Amenábar,Alejandro Amenábar,7.6
625,Schindlers List,04/02/94,"Liam Neeson, Ralph Fiennes, Ben Kingsley",Steven Spielberg,"Thomas Keneally, Steven Zaillian",8.9
626,The Social Network,01/10/10,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake",David Fincher,"Aaron Sorkin, Ben Mezrich",7.8
627,The Color Purple,07/02/86,"Danny Glover, Whoopi Goldberg, Oprah Winfrey",Steven Spielberg,"Menno Meyjes, Alice Walker",7.7
628,Die Hard with a Vengeance,19/05/95,"Bruce Willis, Jeremy Irons, Samuel L. Jackson",John McTiernan,"Jonathan Hensleigh, Roderick Thorp",7.6
629,Se7en,22/09/95,"Morgan Freeman, Brad Pitt, Kevin Spacey",David Fincher,Andrew Kevin Walker,8.6
630,Edge of Tomorrow,06/06/14,"Tom Cruise, Emily Blunt, Bill Paxton",Doug Liman,"Christopher McQuarrie, Jez Butterworth, John-Henry Butterworth",7.9
631,Million Dollar Baby,28/01/05,"Hilary Swank, Clint Eastwood, Morgan Freeman",Clint Eastwood,"Paul Haggis, F.X. Toole",8.1
632,Arrival,11/11/16,"Amy Adams, Jeremy Renner, Forest Whitaker",Denis Villeneuve,"Eric Heisserer, Ted Chiang",7.9
633,Unforgiven,07/08/92,"Clint Eastwood, Gene Hackman, Morgan Freeman",Clint Eastwood,David Webb Peoples,8.2
634,Mary Poppins,18/06/65,"Julie Andrews, Dick Van Dyke, David Tomlinson",Robert Stevenson,"Bill Walsh, Don DaGradi, P.L. Travers",7.8
635,Butch Cassidy and the Sundance Kid,24/09/69,"Paul Newman, Robert Redford, Katharine Ross",George Roy Hill,William Goldman,8
636,The Girl with the Dragon Tattoo,21/12/11,"Daniel Craig, Rooney Mara, Christopher Plummer",David Fincher,"Steven Zaillian, Stieg Larsson",7.8
637,Road to Perdition,12/07/02,"Tom Hanks, Tyler Hoechlin, Rob Maxey",Sam Mendes,"Max Allan Collins, Richard Piers Rayner, David Self",7.7
638,The Graduate,21/12/67,"Dustin Hoffman, Anne Bancroft, Katharine Ross",Mike Nichols,"Calder Willingham, Buck Henry, Charles Webb",8
639,Kramer vs. Kramer,19/12/79,"Dustin Hoffman, Meryl Streep, Jane Alexander",Robert Benton,"Avery Corman, Robert Benton",7.8
640,Black Swan,17/12/10,"Natalie Portman, Mila Kunis, Vincent Cassel",Darren Aronofsky,"Mark Heyman, Andres Heinz, John J. McLaughlin",8
641,Captain Phillips,11/10/13,"Tom Hanks, Barkhad Abdi, Barkhad Abdirahman",Paul Greengrass,"Billy Ray, Richard Phillips, Stephan Talty",7.8
642,Watchmen,06/03/09,"Jackie Earle Haley, Patrick Wilson, Carla Gugino",Zack Snyder,"Dave Gibbons, David Hayter, Alex Tse",7.7
643,Baby Driver,28/06/17,"Ansel Elgort, Jon Bernthal, Jon Hamm",Edgar Wright,Edgar Wright,7.6
644,Pulp Fiction,14/10/94,"John Travolta, Uma Thurman, Samuel L. Jackson",Quentin Tarantino,"Quentin Tarantino, Roger Avary",8.9
645,Little Women,25/12/19,"Saoirse Ronan, Emma Watson, Florence Pugh",Greta Gerwig,"Greta Gerwig, Louisa May Alcott",7.8
