index,Movie Name,Year,Actors,Directors,Writer,Rating
0,Adams Apples,15/04/05,"Ulrich Thomsen, Mads Mikkelsen, Nicolas Bro",Anders Thomas Jensen,Anders Thomas Jensen,7.7
1,Knockin on Heavens Door,20/02/97,"Til Schweiger, Jan Josef Liefers, Thierry van Werveke",Thomas Jahn,"Thomas Jahn, Til Schweiger",7.9
2,Mr. Nobody,26/09/13,"Jared Leto, Sarah Polley, Diane Kruger",Jaco Van Dormael,Jaco Van Dormael,7.8
3,Nostalghia,01/03/92,"Oleg Yankovskiy, Erland Josephson, Domiziana Giordano",Andrei Tarkovsky,"Andrei Tarkovsky, Tonino Guerra",8
4,The Man from Nowhere,05/08/10,"Won Bin, Kim Sae-ron, Kim Tae-hoon",Jeong-beom Lee,Jeong-beom Lee,7.7
5,Udaan,16/07/10,"Rajat Barmecha, Ronit Roy, Manjot Singh",Vikramaditya Motwane,"Vikramaditya Motwane, Anurag Kashyap, Devanshu Singh",8.1
6,Elite Squad,12/10/07,"Wagner Moura, André Ramiro, Caio Junqueira",José Padilha,"André Batista, Bráulio Mantovani, José Padilha",8
7,All About Eve,27/10/50,"Bette Davis, Anne Baxter, George Sanders",Joseph L. Mankiewicz,"Joseph L. Mankiewicz, Mary Orr",8.3
8,Dev.D,06/02/09,"Abhay Deol, Mahie Gill, Kalki Koechlin",Anurag Kashyap,"Saratchandra Chatterjee, Abhay Deol, Vikramaditya Motwane",8
9,Dial M for Murder,29/05/54,"Ray Milland, Grace Kelly, Robert Cummings",Alfred Hitchcock,Frederick Knott,8.2
10,Memories of Murder,02/05/03,"Kang-ho Song, Kim Sang-kyung, Roe-ha Kim",Bong Joon Ho,"Bong Joon Ho, Kwang-rim Kim, Sung-bo Shim",8.1
11,Evil,26/09/03,"Andreas Wilson, Henrik Lundström, Gustaf Skarsgård",Mikael Håfström,"Jan Guillou, Hans Gunnarsson, Mikael Håfström",7.8
12,City Lights,07/03/31,"Charles Chaplin, Virginia Cherrill, Florence Lee",Charles Chaplin,"Charles Chaplin, Harry Carr, Harry Crocker",8.5
13,The Passion of Joan of Arc,25/10/28,"Maria Falconetti, Eugene Silvain, André Berley",Carl Theodor Dreyer,"Joseph Delteil, Carl Theodor Dreyer",8.1
14,The Boondock Saints,21/01/00,"Willem Dafoe, Sean Patrick Flanery, Norman Reedus",Troy Duffy,Troy Duffy,7.7
15,Belle de Jour,10/04/68,"Catherine Deneuve, Jean Sorel, Michel Piccoli",Luis Buñuel,"Joseph Kessel, Luis Buñuel, Jean-Claude Carrière",7.7
16,The Umbrellas of Cherbourg,16/12/64,"Catherine Deneuve, Nino Castelnuovo, Anne Vernon",Jacques Demy,Jacques Demy,7.8
17,M,31/08/31,"Peter Lorre, Ellen Widmann, Inge Landgut",Fritz Lang,"Thea von Harbou, Fritz Lang, Egon Jacobsohn",8.3
18,Le Samouraï,25/10/67,"Alain Delon, François Périer, Nathalie Delon",Jean-Pierre Melville,"Joan McLeod, Jean-Pierre Melville, Georges Pellegrin",8
19,Paan Singh Tomar,02/03/12,"Irrfan Khan, Mahie Gill, Rajesh Abhay",Tigmanshu Dhulia,"Sanjay Chauhan, Tigmanshu Dhulia",8.2
20,8½,24/06/63,"Marcello Mastroianni, Anouk Aimée, Claudia Cardinale",Federico Fellini,"Federico Fellini, Ennio Flaiano, Tullio Pinelli",8
21,Battleship Potemkin,24/12/25,"Aleksandr Antonov, Vladimir Barskiy, Grigoriy Aleksandrov",Sergei Eisenstein,"Nina Agadzhanova, Sergei Eisenstein, Grigoriy Aleksandrov",8
22,Les yeux sans visage,24/10/62,"Pierre Brasseur, Alida Valli, Juliette Mayniel",Georges Franju,"Jean Redon, Pierre Boileau, Thomas Narcejac",7.6
23,The Grapes of Wrath,15/03/40,"Henry Fonda, Jane Darwell, John Carradine",John Ford,"Nunnally Johnson, John Steinbeck",8.1
24,Ikiru,25/03/56,"Takashi Shimura, Nobuo Kaneko, Shinichi Himori",Akira Kurosawa,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni",8.3
25,The Battle of Algiers,20/09/67,"Brahim Hadjadj, Jean Martin, Yacef Saadi",Gillo Pontecorvo,"Franco Solinas, Gillo Pontecorvo",8.1
26,Rififi,05/06/56,"Jean Servais, Carl Möhner, Robert Manuel",Jules Dassin,"Auguste Le Breton, Jules Dassin, René Wheeler",8.2
27,The Holy Mountain,11/07/75,"Alejandro Jodorowsky, Horacio Salinas, Zamira Saunders",Alejandro Jodorowsky,Alejandro Jodorowsky,7.9
28,Lagaan: Once Upon a Time in India,15/06/01,"Aamir Khan, Raghuvir Yadav, Gracy Singh",Ashutosh Gowariker,"Ashutosh Gowariker, Kumar Dave, Sanjay Dayma",8.1
29,Detachment,01/02/12,"Adrien Brody, Christina Hendricks, Marcia Gay Harden",Tony Kaye,Carl Lund,7.7
30,Z,08/12/69,"Yves Montand, Irene Papas, Jean-Louis Trintignant",Costa-Gavras,"Vassilis Vassilikos, Jorge Semprún, Costa-Gavras",8.2
31,Beasts of No Nation,16/10/15,"Abraham Attah, Emmanuel Affadzi, Ricky Adelayitor",Cary Joji Fukunaga,"Cary Joji Fukunaga, Uzodinma Iweala",7.7
32,Peeping Tom,16/05/60,"Karlheinz Böhm, Anna Massey, Moira Shearer",Michael Powell,Leo Marks,7.6
33,The Best Offer,01/01/14,"Geoffrey Rush, Jim Sturgess, Sylvia Hoeks",Giuseppe Tornatore,Giuseppe Tornatore,7.8
34,Hiroshima Mon Amour,16/05/60,"Emmanuelle Riva, Eiji Okada, Stella Dassas",Alain Resnais,Marguerite Duras,7.9
35,Night of the Living Dead,04/10/68,"Duane Jones, Judith ODea, Karl Hardman",George A. Romero,"John A. Russo, George A. Romero",7.8
36,Rashomon,26/12/51,"Toshirô Mifune, Machiko Kyô, Masayuki Mori",Akira Kurosawa,"Ryûnosuke Akutagawa, Akira Kurosawa, Shinobu Hashimoto",8.2
37,Elite Squad 2: The Enemy Within,08/10/10,"Wagner Moura, Irandhir Santos, André Ramiro",José Padilha,"Bráulio Mantovani, José Padilha, Rodrigo Pimentel",8
38,Andrei Rublev,01/10/73,"Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko",Andrei Tarkovsky,"Andrey Konchalovskiy, Andrei Tarkovsky",8.1
39,Darbareye Elly,06/06/09,"Golshifteh Farahani, Shahab Hosseini, Taraneh Alidoosti",Asghar Farhadi,"Asghar Farhadi, Azad Jafarian",8
40,I Saw the Devil,12/08/10,"Lee Byung-hun, Choi Min-sik, Jeon Gook-hwan",Jee-woon Kim,"Park Hoon-jung, Jee-woon Kim",7.8
41,Tokyo Godfathers,08/11/03,"Tôru Emori, Yoshiaki Umegaki, Aya Okamoto",Satoshi Kon,"Satoshi Kon, Keiko Nobumoto",7.8
42,Once Upon a Time in Anatolia,23/09/11,"Muhammet Uzuner, Yilmaz Erdogan, Taner Birsel",Nuri Bilge Ceylan,"Ercan Kesal, Ebru Ceylan, Nuri Bilge Ceylan",7.9
43,The Experiment,08/03/01,"Moritz Bleibtreu, Christian Berkel, Oliver Stokowski",Oliver Hirschbiegel,"Mario Giordano, Christoph Darnstädt, Don Bohlinger",7.7
44,Tangerines,17/04/15,"Lembit Ulfsak, Elmo Nüganen, Giorgi Nakashidze",Zaza Urushadze,"Tatjana Mülbeier, Zaza Urushadze, Artur Veeber",8.1
45,Modern Times,25/02/36,"Charles Chaplin, Paulette Goddard, Henry Bergman",Charles Chaplin,Charles Chaplin,8.5
46,Winter Sleep,12/06/14,"Haluk Bilginer, Melisa Sözen, Demet Akbag",Nuri Bilge Ceylan,"Ebru Ceylan, Nuri Bilge Ceylan, Anton Chekhov",8.1
47,Vicky Donor,20/04/12,"Ayushmann Khurrana, Yami Gautam, Annu Kapoor",Shoojit Sircar,Juhi Chaturvedi,7.8
48,Infernal Affairs,12/12/02,"Andy Lau, Tony Chiu-Wai Leung, Anthony Chau-Sang Wong","Andrew Lau, Alan Mak","Alan Mak, Felix Chong",8
49,Underground,20/06/97,"Predrag Miki Manojlovic, Lazar Ristovski, Mirjana Jokovic",Emir Kusturica,"Dusan Kovacevic, Emir Kusturica",8.1
50,The Grand Illusion,12/09/38,"Jean Gabin, Dita Parlo, Pierre Fresnay",Jean Renoir,"Charles Spaak, Jean Renoir",8.1
51,The Broken Circle Breakdown,10/10/12,"Veerle Baetens, Johan Heldenbergh, Nell Cattrysse",Felix van Groeningen,"Johan Heldenbergh, Mieke Dobbels, Carl Joos",7.7
52,Mirror,07/03/75,"Margarita Terekhova, Filipp Yankovskiy, Ignat Daniltsev",Andrei Tarkovsky,"Aleksandr Misharin, Arseniy Tarkovskiy, Andrei Tarkovsky",8
53,Lilya 4-Ever,23/08/02,"Oksana Akinshina, Artyom Bogucharskiy, Pavel Ponomaryov",Lukas Moodysson,Lukas Moodysson,7.8
54,Millennium Actress,14/09/02,"Miyoko Shôji, Shôzô Îzuka, Mami Koyama",Satoshi Kon,"Satoshi Kon, Sadayuki Murai",7.8
55,Happy Together,30/05/97,"Leslie Cheung, Tony Chiu-Wai Leung, Chang Chen",Kar-Wai Wong,"Manuel Puig, Kar-Wai Wong",7.7
56,Fantastic Planet,01/12/73,"Barry Bostwick, Jennifer Drake, Eric Baugin",René Laloux,"Stefan Wul, Roland Topor, René Laloux",7.7
57,The Discreet Charm of the Bourgeoisie,22/10/72,"Fernando Rey, Delphine Seyrig, Paul Frankeur",Luis Buñuel,"Luis Buñuel, Jean-Claude Carrière",7.9
58,The Shop Around the Corner,12/01/40,"Margaret Sullavan, James Stewart, Frank Morgan",Ernst Lubitsch,"Samson Raphaelson, Miklós László, Ben Hecht",8.1
59,Fireworks,20/03/98,"Takeshi Kitano, Kayoko Kishimoto, Ren Ôsugi",Takeshi Kitano,Takeshi Kitano,7.7
60,Stalker,17/04/80,"Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn",Andrei Tarkovsky,"Arkadiy Strugatskiy, Boris Strugatskiy, Andrei Tarkovsky",8.1
61,3-Iron,15/10/04,"Seung-Yun Lee, Hee Jae, Hyuk-ho Kwon",Kim Ki-duk,Kim Ki-duk,7.9
62,"I, Daniel Blake",09/06/17,"Dave Johns, Hayley Squires, Sharon Percy",Ken Loach,Paul Laverty,7.9
63,The Legend of 1900,28/10/98,"Tim Roth, Pruitt Taylor Vince, Mélanie Thierry",Giuseppe Tornatore,"Alessandro Baricco, Giuseppe Tornatore",8
64,Seven Samurai,19/11/56,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima",Akira Kurosawa,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni",8.6
65,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,29/01/64,"Peter Sellers, George C. Scott, Sterling Hayden",Stanley Kubrick,"Stanley Kubrick, Terry Southern, Peter George",8.4
66,Time of the Gypsies,09/02/90,"Davor Dujmovic, Bora Todorovic, Ljubica Adzovic",Emir Kusturica,"Emir Kusturica, Gordan Mihic",8.1
67,The Great Dictator,07/03/41,"Charles Chaplin, Paulette Goddard, Jack Oakie",Charles Chaplin,Charles Chaplin,8.4
68,His Girl Friday,18/01/40,"Cary Grant, Rosalind Russell, Ralph Bellamy",Howard Hawks,"Charles Lederer, Ben Hecht, Charles MacArthur",7.9
69,Beauty and the Beast,22/11/91,"Paige OHara, Robby Benson, Jesse Corti","Gary Trousdale, Kirk Wise","Linda Woolverton, Brenda Chapman, Chris Sanders",8.1
70,Dil Chahta Hai,10/08/01,"Aamir Khan, Saif Ali Khan, Akshaye Khanna",Farhan Akhtar,"Kassim Jagmagia, Farhan Akhtar, Karan Vishwanath Kashyap",8.1
71,The Sacrifice,09/05/86,"Erland Josephson, Susan Fleetwood, Allan Edwall",Andrei Tarkovsky,Andrei Tarkovsky,7.9
72,La Haine,23/02/96,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui",Mathieu Kassovitz,Mathieu Kassovitz,8.1
73,Taste of Cherry,26/11/97,"Homayoun Ershadi, Abdolrahman Bagheri, Afshin Khorshid Bakhtiari",Abbas Kiarostami,Abbas Kiarostami,7.7
74,This Is England,27/04/07,"Thomas Turgoose, Stephen Graham, Jo Hartley",Shane Meadows,Shane Meadows,7.7
75,Bicycle Thieves,13/12/49,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell",Vittorio De Sica,"Cesare Zavattini, Luigi Bartolini, Oreste Biancoli",8.3
76,Breathless,07/02/61,"Jean-Paul Belmondo, Jean Seberg, Daniel Boulanger",Jean-Luc Godard,"François Truffaut, Jean-Luc Godard, Claude Chabrol",7.8
77,Talvar,02/10/15,"Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi",Meghna Gulzar,"Vishal Bhardwaj, Aditya Nimbalkar",8.1
78,"Black Cat, White Cat",01/06/98,"Bajram Severdzan, Srdjan Zika Todorovic, Branka Katic",Emir Kusturica,Gordan Mihic,8
79,Jojo Rabbit,08/11/19,"Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson",Taika Waititi,"Christine Leunens, Taika Waititi",7.9
80,Open Your Eyes,19/12/97,"Eduardo Noriega, Penélope Cruz, Chete Lera",Alejandro Amenábar,"Alejandro Amenábar, Mateo Gil",7.7
81,Jab We Met,26/10/07,"Shahid Kapoor, Kareena Kapoor, Tarun Arora",Imtiaz Ali,Imtiaz Ali,7.9
82,After the Wedding,11/05/07,"Mads Mikkelsen, Sidse Babett Knudsen, Rolf Lassgård",Susanne Bier,"Susanne Bier, Anders Thomas Jensen",7.7
83,Land of Mine,03/12/15,"Roland Møller, Louis Hofmann, Joel Basman",Martin Zandvliet,Martin Zandvliet,7.8
84,The Third Man,03/09/49,"Orson Welles, Joseph Cotten, Alida Valli",Carol Reed,"Graham Greene, Orson Welles, Alexander Korda",8.1
85,Nausicaä of the Valley of the Wind,25/11/87,"Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda",Hayao Miyazaki,"Hayao Miyazaki, Cindy Davis, Donald H. Hewitt",8.1
86,The Return,25/06/03,"Vladimir Garin, Ivan Dobronravov, Konstantin Lavronenko",Andrey Zvyagintsev,"Vladimir Moiseenko, Aleksandr Novototskiy-Vlasov",7.9
87,Ghost in the Shell,31/03/17,"Scarlett Johansson, Pilou Asbæk, Takeshi Kitano",Rupert Sanders,"Shirow Masamune, Jamie Moss, William Wheeler",6.3
88,The African Queen,21/03/52,"Humphrey Bogart, Katharine Hepburn, Robert Morley",John Huston,"C.S. Forester, James Agee, John Huston",7.8
89,Pather Panchali,26/08/55,"Kanu Bannerjee, Karuna Bannerjee, Subir Banerjee",Satyajit Ray,"Bibhutibhushan Bandyopadhyay, Satyajit Ray",8.4
90,Sunrise,04/11/27,"George OBrien, Janet Gaynor, Margaret Livingston",F.W. Murnau,"Carl Mayer, Hermann Sudermann, Katherine Hilliker",8.1
91,The Conformist,21/03/71,"Jean-Louis Trintignant, Stefania Sandrelli, Gastone Moschin",Bernardo Bertolucci,"Alberto Moravia, Bernardo Bertolucci, Lee Kresel",7.9
92,Mother,28/05/09,"Hye-ja Kim, Won Bin, Jin Goo",Bong Joon Ho,"Bong Joon Ho, Eun-kyo Park",7.8
93,Akira,28/06/91,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama",Katsuhiro Ôtomo,"Katsuhiro Ôtomo, Izô Hashimoto",8
94,Amarcord,19/09/74,"Magali Noël, Bruno Zanin, Pupella Maggio",Federico Fellini,"Federico Fellini, Tonino Guerra",7.9
95,Chungking Express,08/03/96,"Brigitte Lin, Takeshi Kaneshiro, Tony Chiu-Wai Leung",Kar-Wai Wong,Kar-Wai Wong,8.1
96,The Night of the Hunter,27/07/55,"Robert Mitchum, Shelley Winters, Lillian Gish",Charles Laughton,"Davis Grubb, James Agee, Charles Laughton",8
97,Nobody Knows,21/10/04,"Yûya Yagira, Ayu Kitaura, Hiei Kimura",Hirokazu Koreeda,Hirokazu Koreeda,8.1
98,The Hunt,10/01/13,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp",Thomas Vinterberg,"Tobias Lindholm, Thomas Vinterberg",8.3
99,Mysterious Skin,24/06/05,"Brady Corbet, Joseph Gordon-Levitt, Elisabeth Shue",Gregg Araki,"Gregg Araki, Scott Heim",7.6
100,Oldboy,27/11/13,"Josh Brolin, Elizabeth Olsen, Samuel L. Jackson",Spike Lee,"Garon Tsuchiya, Nobuaki Minegishi, Mark Protosevich",5.7
101,Black,04/02/05,"Amitabh Bachchan, Rani Mukerji, Shernaz Patel",Sanjay Leela Bhansali,"Sanjay Leela Bhansali, Bhavani Iyer, Prakash Kapadia",8.2
102,Drishyam,31/07/15,"Ajay Devgn, Shriya Saran, Tabu",Nishikant Kamat,"Jeethu Joseph, Upendra Sidhaye",8.2
103,The Edge of Heaven,27/09/07,"Baki Davrak, Gürsoy Gemec, Cengiz Daner",Fatih Akin,Fatih Akin,7.8
104,Nights of Cabiria,16/10/57,"Giulietta Masina, François Périer, Franca Marzi",Federico Fellini,"Federico Fellini, Ennio Flaiano, Tullio Pinelli",8.1
105,When Marnie Was There,07/08/15,"Sara Takatsuki, Kasumi Arimura, Nanako Matsushima",Hiromasa Yonebayashi,"Joan G. Robinson, Keiko Niwa, Masashi Ando",7.7
106,Perfect Blue,28/02/98,"Junko Iwao, Rica Matsumoto, Shinpachi Tsuji",Satoshi Kon,"Sadayuki Murai, Yoshikazu Takeuchi, Rika Takahashi",8
107,Song of the Sea,20/11/15,"David Rawle, Brendan Gleeson, Lisa Hannigan",Tomm Moore,"Will Collins, Tomm Moore",8.1
108,Control,26/09/07,"Sam Riley, Samantha Morton, Craig Parkinson",Anton Corbijn,"Deborah Curtis, Matt Greenhalgh",7.7
109,Paprika,22/06/07,"Megumi Hayashibara, Tôru Emori, Katsunosuke Hori",Satoshi Kon,"Yasutaka Tsutsui, Seishi Minakami, Satoshi Kon",7.7
110,Chhichhore,06/09/19,"Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma",Nitesh Tiwari,"Piyush Gupta, Nikhil Mehrotra, Nitesh Tiwari",8.5
111,Haider,02/10/14,"Shahid Kapoor, Tabu, Shraddha Kapoor",Vishal Bhardwaj,"William Shakespeare, Basharat Peer, Vishal Bhardwaj",8.1
112,OMG: Oh My God!,28/09/12,"Paresh Rawal, Abhinay Raj Singh, Akshay Kumar",Umesh Shukla,"Alok Jha, Saumya Joshi, Bhavesh Mandalia",8.2
113,Children of Heaven,22/01/99,"Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi",Majid Majidi,Majid Majidi,8.2
114,Sherlock Jr.,11/05/24,"Buster Keaton, Kathryn McGuire, Joe Keaton",Buster Keaton,"Jean C. Havez, Joseph A. Mitchell, Clyde Bruckman",8.2
115,Cowboy Bebop: The Movie,16/05/03,"Beau Billingslea, Melissa Fahn, Nicholas Guest","Shinichirô Watanabe, Tensai Okamura, Hiroyuki Okiura","Keiko Nobumoto, Hajime Yatate",7.8
116,Short Term 12,23/08/13,"Brie Larson, Frantz Turner, John Gallagher Jr.",Destin Daniel Cretton,Destin Daniel Cretton,7.9
117,Casablanca,23/01/43,"Humphrey Bogart, Ingrid Bergman, Paul Henreid",Michael Curtiz,"Julius J. Epstein, Philip G. Epstein, Howard Koch",8.5
118,The General,02/01/27,"Buster Keaton, Marion Mack, Glen Cavender","Clyde Bruckman, Buster Keaton","Buster Keaton, Clyde Bruckman, Al Boasberg",8.1
119,Kahaani,09/03/12,"Vidya Balan, Parambrata Chattopadhyay, Indraneil Sengupta",Sujoy Ghosh,"Sujoy Ghosh, Advaita Kala, Suresh Nair",8.1
120,Joyeux Noel,09/11/05,"Diane Kruger, Benno Fürmann, Guillaume Canet",Christian Carion,Christian Carion,7.7
121,No Mans Land,19/09/01,"Branko Djuric, Rene Bitorajac, Filip Sovagovic",Danis Tanovic,Danis Tanovic,7.9
122,Special 26,08/02/13,"Akshay Kumar, Anupam Kher, Manoj Bajpayee",Neeraj Pandey,Neeraj Pandey,8.1
123,The Machinist,03/12/04,"Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón",Brad Anderson,Scott Kosar,7.7
124,Diabolique,21/11/55,"Simone Signoret, Véra Clouzot, Paul Meurisse",Henri-Georges Clouzot,"Pierre Boileau, Thomas Narcejac, Henri-Georges Clouzot",8.1
125,Leviathan,05/02/15,"Aleksey Serebryakov, Elena Lyadova, Roman Madyanov",Andrey Zvyagintsev,"Oleg Negin, Andrey Zvyagintsev",7.6
126,My Neighbor Totoro,13/07/90,"Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto",Hayao Miyazaki,Hayao Miyazaki,8.2
127,Tae Guk Gi: The Brotherhood of War,24/09/04,"Jang Dong-Gun, Won Bin, Eun-ju Lee",Je-kyu Kang,"Ji-hoon Han, Je-kyu Kang, Sang-don Kim",8
128,Lets Go! India,10/08/07,"Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge",Shimit Amin,Jaideep Sahni,8.2
129,"4 Months, 3 Weeks and 2 Days",14/09/07,"Anamaria Marinca, Laura Vasiliu, Vlad Ivanov",Cristian Mungiu,Cristian Mungiu,7.9
130,Nine Queens,31/08/00,"Ricardo Darín, Gastón Pauls, Graciela Tenenbaum",Fabián Bielinsky,Fabián Bielinsky,7.9
131,Swades,17/12/04,"Shah Rukh Khan, Gayatri Joshi, Kishori Ballal",Ashutosh Gowariker,"M.G. Sathya, Ashutosh Gowariker, Sameer Sharma",8.3
132,Like Stars on Earth,21/12/07,"Darsheel Safary, Aamir Khan, Tisca Chopra","Aamir Khan, Amole Gupte",Amole Gupte,8.4
133,Monty Python and the Holy Grail,25/05/75,"Graham Chapman, John Cleese, Eric Idle","Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle",8.2
134,Metropolis,13/03/27,"Brigitte Helm, Alfred Abel, Gustav Fröhlich",Fritz Lang,"Thea von Harbou, Fritz Lang",8.3
135,Pink,16/09/16,"Taapsee Pannu, Amitabh Bachchan, Kirti Kulhari",Aniruddha Roy Chowdhury,"Shoojit Sircar, Aniruddha Roy Chowdhury, Ritesh Shah",8.1
136,Three Colors: Blue,08/09/93,"Juliette Binoche, Zbigniew Zamachowski, Julie Delpy",Krzysztof Kieslowski,"Krzysztof Kieslowski, Krzysztof Piesiewicz, Agnieszka Holland",7.9
137,The Past,17/05/13,"Bérénice Bejo, Tahar Rahim, Ali Mosaffa",Asghar Farhadi,Asghar Farhadi,7.7
138,The Little Prince,05/08/16,"Jeff Bridges, Mackenzie Foy, Rachel McAdams",Mark Osborne,"Irena Brignull, Bob Persichetti, Antoine de Saint-Exupéry",7.7
139,Andhadhun,05/10/18,"Ayushmann Khurrana, Tabu, Radhika Apte",Sriram Raghavan,"Arijit Biswas, Yogesh Chandekar, Sriram Raghavan",8.2
140,Queen,07/03/14,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon",Vikas Bahl,"Vikas Bahl, Chaitally Parmar, Parveez Sheikh",8.2
141,Down by Law,25/09/86,"Tom Waits, John Lurie, Roberto Benigni",Jim Jarmusch,Jim Jarmusch,7.7
142,Three Colors: White,10/06/94,"Zbigniew Zamachowski, Julie Delpy, Janusz Gajos",Krzysztof Kieslowski,"Krzysztof Kieslowski, Krzysztof Piesiewicz, Agnieszka Holland",7.6
143,Donnie Darko,19/01/01,"Jake Gyllenhaal, Jena Malone, Mary McDonnell",Richard Kelly,Richard Kelly,8
144,Departures,19/06/09,"Masahiro Motoki, Ryôko Hirosue, Tsutomu Yamazaki",Yôjirô Takita,Kundô Koyama,8
145,The Tale of The Princess Kaguya,23/11/13,"Chloë Grace Moretz, James Caan, Mary Steenburgen",Isao Takahata,"Isao Takahata, Riko Sakaguchi",8
146,The Virgin Spring,14/11/60,"Max von Sydow, Birgitta Valberg, Gunnel Lindblom",Ingmar Bergman,Ulla Isaksson,8.1
147,Dogville,23/04/04,"Nicole Kidman, Paul Bettany, Lauren Bacall",Lars von Trier,Lars von Trier,8
148,Citizen Kane,05/09/41,"Orson Welles, Joseph Cotten, Dorothy Comingore",Orson Welles,"Herman J. Mankiewicz, Orson Welles, John Houseman",8.3
149,Bhaag Milkha Bhaag,12/07/13,"Farhan Akhtar, Japtej Singh, Divya Dutta",Rakeysh Omprakash Mehra,Prasoon Joshi,8.3
150,The Celebration,19/06/98,"Ulrich Thomsen, Henning Moritzen, Thomas Bo Larsen",Thomas Vinterberg,"Thomas Vinterberg, Mogens Rukov",8.1
151,Capernaum,20/09/18,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole",Nadine Labaki,"Nadine Labaki, Jihad Hojeily, Michelle Keserwany",8.4
152,English Vinglish,05/10/12,"Sridevi, Adil Hussain, Mehdi Nebbou",Gauri Shinde,Gauri Shinde,7.8
153,Cries,N/A,"Kelly Dawn Burchmore, Thomas Coombes, Matthew Field, Laura Mulholland",Verity Healey,Verity Healey,[]
154,Flipped,10/09/10,"Madeline Carroll, Callan McAuliffe, Rebecca De Mornay",Rob Reiner,"Rob Reiner, Andrew Scheinman, Wendelin Van Draanen",7.7
155,Naked,04/02/94,"David Thewlis, Lesley Sharp, Katrin Cartlidge",Mike Leigh,Mike Leigh,7.8
156,M.S. Dhoni: The Untold Story,30/09/16,"Sushant Singh Rajput, Abhinay Raj Singh, Kiara Advani",Neeraj Pandey,"Neeraj Pandey, Dilip Jha, Mohinder Pratap Singh",8.1
157,Kal Ho Naa Ho,28/11/03,"Preity Zinta, Shah Rukh Khan, Saif Ali Khan",Nikkhil Advani,"Niranjan Iyengar, Karan Johar",8
158,Dreams,24/08/90,"Akira Terao, Mitsuko Baishô, Toshie Negishi","Akira Kurosawa, Ishirô Honda","Akira Kurosawa, Ishirô Honda",7.7
159,The Double Life of Véronique,22/11/91,"Irène Jacob, Wladyslaw Kowalski, Halina Gryglaszewska",Krzysztof Kieslowski,"Krzysztof Kieslowski, Krzysztof Piesiewicz",7.7
160,Marriage Story,06/12/19,"Adam Driver, Scarlett Johansson, Julia Greer",Noah Baumbach,Noah Baumbach,7.9
161,The Handmaiden,01/06/16,"Kim Min-hee, Ha Jung-woo, Cho Jin-woong",Park Chan-wook,"Sarah Waters, Seo-kyeong Jeong, Park Chan-wook",8.1
162,Night on Earth,12/12/91,"Winona Ryder, Gena Rowlands, Lisanne Falk",Jim Jarmusch,Jim Jarmusch,7.7
163,The Wizard of Oz,25/08/39,"Judy Garland, Frank Morgan, Ray Bolger","Victor Fleming, George Cukor, Mervyn LeRoy","Noel Langley, Florence Ryerson, Edgar Allan Woolf",8.1
164,A Prophet,26/03/10,"Tahar Rahim, Niels Arestrup, Adel Bencherif",Jacques Audiard,"Thomas Bidegain, Jacques Audiard, Abdel Raouf Dafri",7.8
165,The Sea Inside,04/03/05,"Javier Bardem, Belén Rueda, Lola Dueñas",Alejandro Amenábar,"Alejandro Amenábar, Mateo Gil",8
166,The Maltese Falcon,18/10/41,"Humphrey Bogart, Mary Astor, Gladys George",John Huston,"John Huston, Dashiell Hammett",8
167,Let the Right One In,12/12/08,"Kåre Hedebrant, Lina Leandersson, Per Ragnar",Tomas Alfredson,John Ajvide Lindqvist,7.9
168,"Paris, Texas",23/08/84,"Harry Dean Stanton, Nastassja Kinski, Dean Stockwell",Wim Wenders,"L.M. Kit Carson, Sam Shepard, Walter Donohue",8.1
169,Color It Yellow,26/01/06,"Aamir Khan, Soha Ali Khan, Siddharth",Rakeysh Omprakash Mehra,"Renzil DSilva, Ajeet Ghorpade, Prasoon Joshi",8.1
170,Blue Is the Warmest Colour,09/10/13,"Léa Seydoux, Adèle Exarchopoulos, Salim Kechiouche",Abdellatif Kechiche,"Abdellatif Kechiche, Ghalya Lacroix, Julie Maroh",7.7
